"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104903",520.760817772028,5.77900016047932,0.390882386975932,14.7844987470238,1.84425164141645e-49,8.4854018021571e-45
"ENSG00000071051",2582.63776173443,4.31705386726285,0.320191833028696,13.4827107438307,1.97707288149924e-41,4.54825616388901e-37
"ENSG00000011304",339.619601560799,3.64319348217533,0.276037638240129,13.1981765436135,8.9884552395047e-40,1.37852941856537e-35
"ENSG00000180448",1278.9705056298,4.77210145007975,0.367290855010768,12.9927042423636,1.34586090944057e-38,1.54807651108402e-34
"ENSG00000117691",682.042558663538,5.37667900330885,0.439625476686327,12.2301351683154,2.145812689165e-34,1.97457683656964e-30
"ENSG00000182287",2688.21545166597,3.08059942116383,0.254923069343553,12.0844277808855,1.27655795695676e-33,9.78907193326341e-30
"ENSG00000156381",638.701719859377,5.81736473403252,0.487613402042652,11.9302806478721,8.22955770489987e-33,5.40917071432062e-29
"ENSG00000078369",1150.21997071479,2.74446330733493,0.232612512076399,11.7984337249818,3.97643849037739e-32,2.2869491867783e-28
"ENSG00000176903",1575.63204296231,4.04171899915827,0.343788070864891,11.7564259544848,6.54464576798486e-32,3.34576835316648e-28
"ENSG00000186591",1136.98633703969,2.72019541067042,0.233350597562073,11.6571178265221,2.1106654725306e-31,9.71117183911331e-28
"ENSG00000143162",843.903690458296,2.97754333575727,0.257810391720862,11.5493534449191,7.43778582101568e-31,3.11102296022665e-27
"ENSG00000181788",1053.59417287427,3.61823029793508,0.314580642220399,11.5017576173683,1.29256174798914e-30,4.95589716874834e-27
"ENSG00000128245",6310.86825402044,3.4639809652736,0.302631685522646,11.4461939412963,2.45698268467821e-30,8.69582871708033e-27
"ENSG00000132819",671.730795357222,4.22162207722282,0.369050733807667,11.4391374694379,2.66521970882885e-30,8.75905420022966e-27
"ENSG00000186480",867.712341819422,2.96480922104123,0.26599764863595,11.1459978546612,7.48999612119705e-29,2.29743147690851e-25
"ENSG00000179632",555.832031627656,4.20191391408914,0.377203287204101,11.1396534882675,8.04316766481482e-29,2.31291340161331e-25
"ENSG00000185340",1569.0652497354,5.13052566693145,0.466117451517844,11.0069375223447,3.53827175628592e-28,9.57622844157147e-25
"ENSG00000184007",4264.76898239042,2.44936346398416,0.223598919259337,10.9542723734873,6.33857106091137e-28,1.62020919173629e-24
"ENSG00000090238",239.317888808405,2.68255587135662,0.248069613964843,10.8137221180858,2.96394499102422e-27,7.17742679142233e-24
"ENSG00000249992",1064.99619157507,5.32951569232141,0.496509153764502,10.7339726808929,7.04987021345893e-27,1.62182264260623e-23
"ENSG00000103187",2948.93324998971,3.05759302013146,0.289651890705128,10.5560955003196,4.76053614031752e-26,1.04301079912385e-22
"ENSG00000129968",393.961782491055,5.67821932991242,0.547097951132939,10.3787983818142,3.0964792941013e-25,6.39473911981481e-22
"ENSG00000137198",1540.07818209483,3.49868224094547,0.337197769621274,10.3757573630307,3.19667463063988e-25,6.39473911981481e-22
"ENSG00000124535",762.510688765162,3.61081420934506,0.350543204374645,10.3006253274446,7.0004740523397e-25,1.34204921311729e-21
"ENSG00000131188",188.583988701552,6.61810485876629,0.642867144081644,10.2946696213888,7.44747880144942e-25,1.37063399861875e-21
"ENSG00000162434",1057.04059906319,2.27024948806771,0.225212204031578,10.0804905215056,6.73888547775462e-24,1.19252354165958e-20
"ENSG00000119242",1643.03113225327,3.7291861456692,0.371871637188243,10.0281542681392,1.14639490109473e-23,1.95354182960625e-20
"ENSG00000261455",268.947982967263,4.63915775325911,0.463504466409664,10.0088738932643,1.39329405331846e-23,2.28948069261365e-20
"ENSG00000143499",213.317987910698,2.93939237468711,0.29546979082777,9.94819932843994,2.56787379427697e-23,4.07406459567874e-20
"ENSG00000115756",406.876775700592,3.83533267952786,0.386372980938508,9.92650332383946,3.19255075217918e-23,4.89630867025881e-20
"ENSG00000165280",503.983426744623,2.19485168211563,0.221254791592865,9.92001875446119,3.40692153448244e-23,5.05653096133991e-20
"ENSG00000163932",800.30867438491,2.65631765277417,0.268406574474259,9.89661917923297,4.30585336235204e-23,6.1910097875568e-20
"ENSG00000153162",1291.45964415355,3.07525460228817,0.313703940348311,9.80304741749073,1.09239218629852e-22,1.52305953004833e-19
"ENSG00000100266",776.13265827295,3.23772211757056,0.330919576702676,9.78401504628897,1.31872964399772e-22,1.78455149765691e-19
"ENSG00000101412",167.406844206952,4.6726216868371,0.480425632408214,9.72600413390684,2.33589193610668e-22,3.07069679943624e-19
"ENSG00000022840",921.94714717532,2.9100445623877,0.299600328953301,9.71308867568463,2.65177244338624e-22,3.33402188554425e-19
"ENSG00000122257",750.987613174186,2.33830103420421,0.240764934860939,9.71196671788923,2.68113040132878e-22,3.33402188554425e-19
"ENSG00000099624",57.8182201420442,3.93714747277859,0.406329548048225,9.68954261803108,3.34021129883506e-22,4.04429268051055e-19
"ENSG00000108960",15498.8586505077,3.11408442561997,0.323122221847779,9.6374814700519,5.55337224547529e-22,6.55155530805944e-19
"ENSG00000105063",467.665031237326,4.40955562154933,0.46003124695237,9.58533936718844,9.21541828619097e-22,1.04690829891843e-18
"ENSG00000136238",1664.68917743753,2.3860046547502,0.248955169283881,9.58407355675135,9.32911111837763e-22,1.04690829891843e-18
"ENSG00000180354",5326.37854355296,3.04450979987471,0.318657126909607,9.55418706432492,1.245579450391e-21,1.33461116523848e-18
"ENSG00000135932",684.467767151289,2.47685930777893,0.259247213052757,9.55404410567332,1.24730015442848e-21,1.33461116523848e-18
"ENSG00000005249",18172.1276743437,3.1674560351898,0.331869498869369,9.5442818516943,1.3705384954172e-21,1.38822996210387e-18
"ENSG00000107816",112.834460301909,4.77149858163964,0.499981353474814,9.54335306402582,1.38287296660506e-21,1.38822996210387e-18
"ENSG00000161013",878.980795107733,4.7679395028206,0.499628220676687,9.54297476704375,1.38792823857374e-21,1.38822996210387e-18
"ENSG00000181104",2428.03751359647,2.97983556355708,0.312672593105863,9.53021028788471,1.5696494819277e-21,1.53658665241475e-18
"ENSG00000235162",2065.53339434718,3.31557535686529,0.349560002439165,9.48499637753124,2.42391497312765e-21,2.32342349820007e-18
"ENSG00000104964",215.994200818575,3.10684053483929,0.328088025928157,9.46953344624533,2.8109637876603e-21,2.63266481240329e-18
"ENSG00000114353",1379.41397445936,2.35471606606695,0.248710694270294,9.46769125861506,2.86097023734329e-21,2.63266481240329e-18
"ENSG00000112977",1231.50468686156,3.74503626607089,0.396114024853043,9.45443996197886,3.24755736732768e-21,2.92980616609307e-18
"ENSG00000176170",245.66468033687,3.66212897977677,0.387446456398157,9.45196147571268,3.32539805707012e-21,2.9423377808807e-18
"ENSG00000205309",1000.54077125537,3.76212783091453,0.400634410825741,9.39042610733428,5.97580079475756e-21,5.0916036030888e-18
"ENSG00000106868",805.148755106281,2.90462696595901,0.309955940298306,9.37109630215041,7.17830014549527e-21,6.00497435807704e-18
"ENSG00000146535",399.415579193739,2.97343449103863,0.317692063805681,9.35948621259032,8.01253660292451e-21,6.58315730536708e-18
"ENSG00000136156",15619.5812510502,2.81663389194804,0.303170471692661,9.29059441779477,1.5342904372481e-20,1.23846847399623e-17
"ENSG00000280852",91.8822552696392,3.7499970693526,0.404989668229512,9.25948823767878,2.05414373705286e-20,1.62950264382418e-17
"ENSG00000196182",1376.31391774846,3.10259947926569,0.338778331951749,9.15819929034771,5.27704910394228e-20,4.11520388597262e-17
"ENSG00000162909",1841.31627982185,2.78764123001672,0.306730645648033,9.08823839276719,1.00656640804859e-19,7.5921508908714e-17
"ENSG00000177731",612.341761905318,3.02142081494679,0.333020756582727,9.0727702559772,1.16028754353226e-19,8.61045643192243e-17
"ENSG00000152484",393.487701583629,2.24181620386587,0.247469506531096,9.05895936550136,1.31700987442095e-19,9.61835306700128e-17
"ENSG00000082781",2591.95721493531,3.54182800758296,0.392823325158561,9.01633834027885,1.94481089992928e-19,1.39813671102729e-16
"ENSG00000162722",5286.29084255396,2.82064918152159,0.313421113824099,8.99955062728996,2.2664344189165e-19,1.60428688637459e-16
"ENSG00000164897",25.9724023570213,4.9128589787323,0.547683721345029,8.97024831533619,2.95846711211241e-19,2.06241017921655e-16
"ENSG00000103202",253.745149803713,4.07123875535662,0.456858292530222,8.91138197975756,5.04003504358448e-19,3.46107481127346e-16
"ENSG00000104341",344.822000821515,3.36630338117615,0.378935762184113,8.88357267145603,6.47466496007811e-19,4.38087257078226e-16
"ENSG00000237854",123.02292350821,3.44726489765251,0.389569821416751,8.84890129609069,8.83850988395515e-19,5.80942628229681e-16
"ENSG00000257704",36.4475720361748,4.75924964334468,0.539036539025914,8.8291781702685,1.05447634582367e-18,6.83330375652776e-16
"ENSG00000171033",296.105369085634,4.0186487544332,0.457093731764837,8.79173892609993,1.47262655436438e-18,9.41049274532017e-16
"ENSG00000115457",438.12380980679,6.84472383289582,0.780918353942129,8.76496729567591,1.86830888329539e-18,1.17754646192357e-15
"ENSG00000162368",5106.41886783846,2.90540518660665,0.331580241829588,8.76229889505856,1.91308207532382e-18,1.18947170656283e-15
"ENSG00000110047",941.731027327775,2.89707200855035,0.331082643396962,8.75029865300675,2.12788845058141e-18,1.30538863481667e-15
"ENSG00000184574",293.221272946132,2.92944052215352,0.335118618168779,8.74150334637073,2.30028713487936e-18,1.39258172468157e-15
"ENSG00000177272",299.35719255807,2.99972326792606,0.343224814788855,8.73982048696401,2.33481125528895e-18,1.39512553059539e-15
"ENSG00000184602",6565.67266408234,3.43217745190165,0.392815957957431,8.7373676714875,2.3860493099584e-18,1.40746318911777e-15
"ENSG00000139970",358.953343827587,3.55167005503983,0.407055879644195,8.72526410414294,2.65560127209231e-18,1.52730268161209e-15
"ENSG00000198055",316.440646457819,3.27390231395721,0.375563340266657,8.71731067157056,2.84887643853673e-18,1.59849762118384e-15
"ENSG00000066697",715.081310347896,2.67423130843274,0.307191257099302,8.70542779662598,3.16379126041856e-18,1.7329289987126e-15
"ENSG00000102572",454.790389307965,2.69273055474539,0.309754948247601,8.69309939995849,3.52683557033106e-18,1.90905534812861e-15
"ENSG00000196924",9631.8018791371,3.85321910061722,0.443790015544005,8.68252769475645,3.87068921408644e-18,2.07081872953624e-15
"ENSG00000034152",868.664927561798,2.98598387590645,0.344332023280282,8.67181578832095,4.25283288925861e-18,2.24911311764125e-15
