Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1982608	SRR1982608.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16960299.0	0.0	100.0	41.0	31.462220968900073	100.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982609	SRR1982609.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22698902.0	0.0	100.0	42.0	21.958602575436835	100.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982610	SRR1982610.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14606695.0	0.0	100.0	42.0	26.751083511908014	100.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982611	SRR1982611.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21603307.0	0.0	100.0	41.0	32.375535659561365	100.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982612	SRR1982612.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13850445.0	0.0	100.0	41.0	30.65856185569623	100.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982613	SRR1982613.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18841171.0	0.0	101.0	42.0	39.413820078841916	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
SRR1982614	SRR1982614.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18321092.0	0.0	101.0	41.0	37.02046970921865	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982615	SRR1982615.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17068161.0	0.0	101.0	42.0	24.854868329245267	101.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982616	SRR1982616.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22218537.0	0.0	101.0	42.0	27.816914682731227	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982618	SRR1982618.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16595949.0	0.0	101.0	45.0	25.386203119008755	101.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	pass
SRR1982619	SRR1982619.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22624993.0	0.0	101.0	40.0	75.67935263325587	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
SRR1982620	SRR1982620.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30391617.0	0.0	101.0	44.0	32.33924405247149	101.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
SRR1982621	SRR1982621.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33837642.0	0.0	101.0	44.0	36.592858105985776	101.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
SRR1982622	SRR1982622.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20057064.0	0.0	100.0	43.0	25.011707132912985	100.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
SRR1982623	SRR1982623.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24330046.0	0.0	100.0	43.0	21.54436901850869	100.0	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	pass
SRR1982656	SRR1982656.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23535742.0	0.0	101.0	44.0	44.72392994705438	101.0	pass	fail	pass	pass	warn	warn	pass	pass	fail	fail	pass
SRR1982657	SRR1982657.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20637032.0	0.0	100.0	44.0	24.37875645669883	100.0	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	pass
SRR1982658	SRR1982658.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19634877.0	0.0	100.0	43.0	25.864890095280096	100.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
