Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1982608	68.53777903109993	41.0	100.0	36.36363636363637	16960299.0
SRR1982609	78.04139742456317	42.0	100.0	27.27272727272727	22698902.0
SRR1982610	73.248916488092	42.0	100.0	36.36363636363637	14606695.0
SRR1982611	67.62446434043864	41.0	100.0	27.27272727272727	21603307.0
SRR1982612	69.34143814430377	41.0	100.0	27.27272727272727	13850445.0
SRR1982613	60.586179921158084	42.0	101.0	27.27272727272727	18841171.0
SRR1982614	62.97953029078135	41.0	101.0	27.27272727272727	18321092.0
SRR1982615	75.14513167075474	42.0	101.0	36.36363636363637	17068161.0
SRR1982616	72.18308531726878	42.0	101.0	27.27272727272727	22218537.0
SRR1982618	74.61379688099125	45.0	101.0	18.181818181818183	16595949.0
SRR1982619	24.320647366744126	40.0	101.0	9.090909090909092	22624993.0
SRR1982620	67.66075594752851	44.0	101.0	18.181818181818183	30391617.0
SRR1982621	63.407141894014224	44.0	101.0	9.090909090909092	33837642.0
SRR1982622	74.98829286708701	43.0	100.0	9.090909090909092	20057064.0
SRR1982623	78.45563098149131	43.0	100.0	9.090909090909092	24330046.0
SRR1982656	55.27607005294562	44.0	101.0	27.27272727272727	23535742.0
SRR1982657	75.62124354330118	44.0	100.0	9.090909090909092	20637032.0
SRR1982658	74.13510990471991	43.0	100.0	9.090909090909092	19634877.0
SRR1982659	75.98505594474307	41.0	100.0	45.45454545454545	8884830.0
SRR1982660	71.20649189034093	44.0	100.0	9.090909090909092	13628393.0
SRR1982661	67.61512086415942	43.0	101.0	9.090909090909092	24530486.0
SRR1982662	78.73088270229957	44.0	101.0	9.090909090909092	25421000.0
SRR1982663	73.16425286801086	42.0	100.0	45.45454545454545	10566530.0
SRR1982664	78.83108072045485	43.0	101.0	9.090909090909092	26210402.0
SRR1982665	26.130097169568458	44.0	101.0	9.090909090909092	21254993.0
SRR1982696	47.0609866146919	39.0	101.0	18.181818181818183	23679951.0
SRR1982697	15.549049666098682	39.0	100.0	0.0	31776032.0
SRR1982698	13.795851650340168	40.0	100.0	0.0	18565457.0
SRR1982699	14.430282032401337	40.0	101.0	0.0	23246062.0
SRR1982700	61.97504274940124	40.0	101.0	36.36363636363637	29031879.0
SRR1982701	52.80524277368183	42.0	101.0	18.181818181818183	24896355.0
SRR1982702	49.09762602038471	42.0	101.0	9.090909090909092	24802865.0
SRR1982796	76.75521733043809	44.0	101.0	36.36363636363637	27706860.0
SRR1982797	71.84618963745234	43.0	100.0	9.090909090909092	21747191.0
SRR1982798	73.74299254637594	44.0	100.0	18.181818181818183	14931170.0
SRR1982799	73.47435515048893	43.0	100.0	9.090909090909092	19135051.0
SRR1982800	74.48636761874695	44.0	100.0	18.181818181818183	24227080.0
SRR1982801	75.58090404345101	43.0	100.0	9.090909090909092	26155560.0
SRR1982802	76.19876363660353	42.0	101.0	27.27272727272727	20986838.0
SRR1982803	63.44173532133056	44.0	100.0	9.090909090909092	27280192.0
SRR1982804	72.58238768571695	44.0	100.0	18.181818181818183	23394565.0
SRR1982805	77.73866181393633	42.0	101.0	27.27272727272727	20903456.0
SRR2095004	24.469040143241656	40.0	101.0	18.181818181818183	3247395.0
SRR2095014	32.11576968496253	41.0	101.0	18.181818181818183	3715708.0
SRR2095031	18.808786898766414	40.0	101.0	18.181818181818183	19869491.0
SRR2096481	66.32302180443769	41.0	101.0	27.27272727272727	20184983.0
SRR2096482	77.28054085867439	41.0	101.0	27.27272727272727	25660372.0
SRR2096483	77.02501592100737	40.0	101.0	36.36363636363637	18792463.0
SRR2096484	65.56854439586115	43.0	101.0	36.36363636363637	3626253.0
SRR2096485	75.11180875123634	40.0	101.0	36.36363636363637	23110499.0
SRR2096486	73.60224923809068	41.0	101.0	36.36363636363637	14208984.0
SRR2096487	74.73783997230903	41.0	101.0	27.27272727272727	17347035.0
SRR2096488	75.14400598837344	42.0	101.0	36.36363636363637	10945572.0
SRR2096489	69.27063802034353	42.0	101.0	27.27272727272727	10587599.0
SRR2096490	71.33592217293621	41.0	101.0	36.36363636363637	17261711.0
SRR2096496	67.60376851908671	43.0	101.0	18.181818181818183	23845022.0
SRR2096497	67.23395424885209	43.0	101.0	18.181818181818183	11623892.0
SRR2096498	74.44735178421996	32.0	101.0	36.36363636363637	21599031.0
SRR2096499	69.99168929073288	41.0	101.0	18.181818181818183	17854836.0
SRR2096500	78.24953373265286	40.0	101.0	36.36363636363637	26385314.0
SRR2096501	50.817666809219006	43.0	101.0	18.181818181818183	13725598.0
SRR2096502	72.81826251216425	43.0	101.0	18.181818181818183	13509283.0
SRR2096503	62.304490476794946	43.0	101.0	18.181818181818183	13988300.0
SRR2096504	70.69257586646873	41.0	101.0	27.27272727272727	20137939.0
SRR2096505	74.81927944731129	41.0	101.0	18.181818181818183	27123730.0
SRR2096506	70.26556480723792	42.0	101.0	18.181818181818183	18179257.0
SRR2096507	75.92048948125398	40.0	101.0	27.27272727272727	25218807.0
SRR2096508	39.3051160823099	39.0	101.0	18.181818181818183	23361914.0
SRR2096509	74.17241781159105	42.0	101.0	18.181818181818183	22503209.0
SRR2096510	71.41502077738645	41.0	101.0	27.27272727272727	19897757.0
