Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR1982608	16960299	6058748	16960299	1696029900	124303502	1543307314	9.004710707045907
SRR1982609	22698902	7985652	22698902	2269890200	161347659	2073179007	8.66611050173264
SRR1982610	14606695	5204864	14606695	1460669500	108895479	1324819765	9.300511512015552
SRR1982611	21603307	7588920	21603307	2160330700	149598439	1990002843	7.884341827850708
SRR1982612	13850445	4778501	13850445	1385044500	94960687	1277151993	7.789822420868066
SRR1982613	18841171	6397779	18841171	1902958271	77563645	1816538658	4.541329902866798
SRR1982614	18321092	6281585	18321092	1850430292	84904687	1757072285	5.045205291094533
SRR1982615	17068161	5723569	17068161	1723884261	72864055	1643175275	4.681810016246792
SRR1982616	22218537	7449316	22218537	2244072237	102510523	2131422056	5.019899945404476
SRR1982618	16595949	6386156	16595949	1676190849	65444804	1574061199	6.092960718699163
SRR1982619	22624993	9590143	22624993	2285124293	89033368	2129251231	6.821207164856831
SRR1982620	30391617	12421731	30391617	3069553317	117723736	2833167793	7.70097468875469
SRR1982621	33837642	13180958	33837642	3417601842	107572940	3262351530	4.5426681976841
SRR1982622	20057064	7552162	20057064	2005706400	43634437	1949449521	2.804841177153346
SRR1982623	24330046	9521733	24330046	2433004600	52815100	2336484935	3.9670975139134548
SRR1982656	23535742	11218340	23535742	2377109942	192144779	1925289665	19.007125796624177
SRR1982657	20637032	7820591	20637032	2063703200	41512989	2002063908	2.9868293076252437
SRR1982658	19634877	7449938	19634877	1963487700	38730019	1909603843	2.7442930760401505
SRR1982659	8884830	2942343	8884830	888483000	99509871	782497748	11.928787832744128
SRR1982660	13628393	5166631	13628393	1362839300	26833904	1318197078	3.2756776239135457
SRR1982661	24530486	9721032	24530486	2477579086	82404871	2362613903	4.6402225321335315
SRR1982662	25421000	9108962	25421000	2567521000	60070607	2489237281	3.0490001444973576
SRR1982663	10566530	3618625	10566530	1056653000	95783708	943766268	10.683425116854824
SRR1982664	26210402	9510588	26210402	2647250602	56645326	2574807210	2.7365521022176353
SRR1982665	21254993	8241098	21254993	2146754293	83509094	1995761244	7.033550578766677
SRR1982696	23679951	11371227	23679951	2391675051	176400624	2046244366	14.443044211025638
SRR1982697	31776032	12419165	31776032	3177603200	59380884	3097952803	2.5066187307464944
SRR1982698	18565457	7123743	18565457	1856545700	26852831	1817849879	2.084291326628803
SRR1982699	23246062	8779346	23246062	2347852262	18889028	2313283281	1.4723661092096432
SRR1982700	29031879	16359636	29031879	2932219779	349471694	2089682637	28.733765048380434
SRR1982701	24896355	11061657	24896355	2514531855	181516389	2149988016	14.497483429176919
SRR1982702	24802865	10000661	24802865	2505089365	92282346	2351483164	6.131765323270214
SRR1982796	27706860	14186088	27706860	2798392860	349910552	2067233824	26.127819522809958
SRR1982797	21747191	8086281	21747191	2174719100	31294539	2127843893	2.1554603074944256
SRR1982798	14931170	5545433	14931170	1493117000	24933208	1450448377	2.857687843618417
SRR1982799	19135051	7291347	19135051	1913505100	36214385	1861810243	2.7015792641472447
SRR1982800	24227080	9082783	24227080	2422708000	49076779	2330946112	3.7875752257391317
SRR1982801	26155560	9742404	26155560	2615556000	49773995	2536089171	3.0382384854310134
SRR1982802	20986838	7144774	20986838	2119670638	89864822	2020085747	4.698130417750307
SRR1982803	27280192	10086386	27280192	2728019200	52286744	2655895279	2.643820138802542
SRR1982804	23394565	8882916	23394565	2339456500	53282576	2240175070	4.243781835652854
SRR1982805	20903456	6988741	20903456	2111249056	90376864	2011249978	4.736488938422999
SRR2095004	3247395	1135999	3247395	327986895	13195710	313153568	4.522536487319105
SRR2095014	3715708	1274217	3715708	375286508	15919452	357451464	4.752380813008071
SRR2095031	19869491	6903366	19869491	2006818591	78662365	1918523140	4.399772425668146
SRR2096481	20184983	6862252	20184983	2038683283	101435407	1927519150	5.452741675323778
SRR2096482	25660372	9028934	25660372	2591697572	125725807	2451180578	5.421812927484581
SRR2096483	18792463	6740434	18792463	1898038763	89112193	1796286773	5.3609015781728795
SRR2096484	3626253	1711193	3626253	366251553	30902085	299741358	18.159703202678294
SRR2096485	23110499	8311354	23110499	2334160399	114031220	2206951776	5.449866386838654
SRR2096486	14208984	4758468	14208984	1435107384	80195593	1348030497	6.067621696523861
SRR2096487	17347035	5953621	17347035	1752050535	89383243	1653780035	5.608885019974609
SRR2096488	10945572	5698430	10945572	1105502772	109264377	812910373	26.466907764569587
SRR2096489	10587599	3846079	10587599	1069347499	53258703	989102565	7.504102649049166
SRR2096490	17261711	6103604	17261711	1743432811	69811016	1663863343	4.563953798389308
SRR2096496	23845022	8214517	23845022	2408347222	82625704	2312818363	3.9665733465404767
SRR2096497	11623892	3874936	11623892	1174013092	40013130	1128131695	3.908082227757644
SRR2096498	21599031	8732042	21599031	2181502131	81937048	2084830643	4.4314184536544925
SRR2096499	17854836	6311814	17854836	1803338436	73747114	1719691280	4.638461329839919
SRR2096500	26385314	9485482	26385314	2664916714	119575401	2530579832	5.040941103122219
SRR2096501	13725598	4697509	13725598	1386285398	38800075	1339533275	3.372474604973081
SRR2096502	13509283	4509794	13509283	1364437583	54534701	1302004297	4.57575244026388
SRR2096503	13988300	4596667	13988300	1412818300	59294416	1346709268	4.679231009394485
SRR2096504	20137939	7237613	20137939	2033931839	79820367	1940338583	4.601592551204465
SRR2096505	27123730	9517591	27123730	2739496730	124169114	2600032858	5.0908573999283435
SRR2096506	18179257	6244986	18179257	1836104957	60749060	1762951381	3.984171804618683
SRR2096507	25218807	8952588	25218807	2547099507	125151113	2407313404	5.488050333951873
SRR2096508	23361914	8713302	23361914	2359553314	85396333	2260562391	4.195324700342838
SRR2096509	22503209	7753459	22503209	2272824109	98157047	2161170111	4.9125665975589135
SRR2096510	19897757	6981429	19897757	2009673457	76305161	1921156146	4.40456188002487
