Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1982608	9.004710707045907	67.15830922007086	42.0	92.35926743620577	45.45454545454545	16643902.0
SRR1982609	8.66611050173264	76.38960542346064	43.0	92.40404411842025	36.36363636363637	22348307.0
SRR1982610	9.300511512015552	71.62656080591658	42.0	92.27020589442448	45.45454545454545	14301990.0
SRR1982611	7.884341827850708	66.28908496988933	42.0	92.45419970328207	36.36363636363637	21439217.0
SRR1982612	7.789822420868066	68.2529280548221	42.0	92.57919719415068	36.36363636363637	13741579.0
SRR1982613	4.541329902866798	60.414509165768784	42.0	96.02483691476347	27.27272727272727	18786955.0
SRR1982614	5.045205291094533	63.23669155701195	41.0	95.68524429116532	36.36363636363637	18237172.0
SRR1982615	4.681810016246792	75.42413717418701	43.0	95.9913715986308	45.45454545454545	16999441.0
SRR1982616	5.019899945404476	72.41548542593456	43.0	95.73571000888049	27.27272727272727	22109146.0
SRR1982618	6.092960718699163	72.71202080072788	45.0	96.9116322995214	18.181818181818183	16133044.0
SRR1982619	6.821207164856831	21.22595269262166	40.0	97.04187222896878	9.090909090909092	21798744.0
SRR1982620	7.70097468875469	65.23856535026073	44.0	97.36315563191039	18.181818181818183	28904233.0
SRR1982621	4.5426681976841	61.872283672616874	44.0	97.00957676894583	18.181818181818183	33405630.0
SRR1982622	2.804841177153346	74.03414239525476	44.0	96.98018757317716	18.181818181818183	20030156.0
SRR1982623	3.9670975139134548	77.22034138801878	43.0	97.1297851789544	18.181818181818183	23970603.0
SRR1982656	19.007125796624177	46.92571132250486	45.0	96.17158140111385	9.090909090909092	19871233.0
SRR1982657	2.9868293076252437	74.52451907635496	44.0	97.29613091841972	18.181818181818183	20506572.0
SRR1982658	2.7442930760401505	72.78309078836556	43.0	97.24206958590254	18.181818181818183	19569596.0
SRR1982659	11.928787832744128	75.33441395647756	42.0	89.4534352057377	45.45454545454545	8701735.0
SRR1982660	3.2756776239135457	70.07698524808825	44.0	97.26383806965657	18.181818181818183	13505659.0
SRR1982661	4.6402225321335315	66.10451368520557	43.0	96.71368452630898	18.181818181818183	24267190.0
SRR1982662	3.0490001444973576	77.78311878256085	45.0	97.55861712764253	18.181818181818183	25344060.0
SRR1982663	10.683425116854824	71.85166180466157	43.0	91.34185238085236	45.45454545454545	10283544.0
SRR1982664	2.7365521022176353	78.04161013993841	43.0	97.70156271123392	18.181818181818183	26178029.0
SRR1982665	7.033550578766677	22.64817157873064	43.0	96.89653639844646	18.181818181818183	20456972.0
SRR1982696	14.443044211025638	40.9688559803851	39.0	94.7952748077443	9.090909090909092	21445138.0
SRR1982697	2.5066187307464944	15.240135043056085	39.0	97.2348910378347	9.090909090909092	31747763.0
SRR1982698	2.084291326628803	13.611503418175786	40.0	97.71302626865537	9.090909090909092	18541718.0
SRR1982699	1.4723661092096432	14.33875432461268	40.0	99.07997124086492	9.090909090909092	23189849.0
SRR1982700	28.733765048380434	48.796632905114166	40.0	95.84485147471283	9.090909090909092	21660251.0
SRR1982701	14.497483429176919	46.75378505473161	42.0	95.78562632197499	9.090909090909092	22295713.0
SRR1982702	6.131765323270214	47.14936400919242	43.0	96.90161313687777	0.0	24105332.0
SRR1982796	26.127819522809958	69.838872728571	45.0	96.35325252578153	18.181818181818183	21309147.0
SRR1982797	2.1554603074944256	71.10938681304205	44.0	97.82137360921686	18.181818181818183	21681130.0
SRR1982798	2.857687843618417	72.73324730847361	44.0	97.70381980846079	18.181818181818183	14796344.0
SRR1982799	2.7015792641472447	72.49591865836001	43.0	97.3473747637066	18.181818181818183	19058932.0
SRR1982800	3.7875752257391317	72.89882936997827	44.0	97.51398566175854	18.181818181818183	23824400.0
SRR1982801	3.0382384854310134	74.27902754809604	43.0	97.47923987381984	18.181818181818183	25929274.0
SRR1982802	4.698130417750307	76.29657964604797	43.0	95.96884774992552	36.36363636363637	20904108.0
SRR1982803	2.643820138802542	62.39766923945641	44.0	97.32782783747125	18.181818181818183	27195976.0
SRR1982804	4.243781835652854	70.77019572077943	44.0	97.34166901816941	18.181818181818183	22935688.0
SRR1982805	4.736488938422999	77.7431513442492	43.0	95.90667037948381	36.36363636363637	20825157.0
SRR2095004	4.522536487319105	23.854848780197642	40.0	96.0288389038981	18.181818181818183	3238750.0
SRR2095014	4.752380813008071	31.40998245046312	41.0	95.81704484969667	18.181818181818183	3704908.0
SRR2095031	4.399772425668146	18.385303600426823	40.0	96.09451591881083	27.27272727272727	19828554.0
SRR2096481	5.452741675323778	66.00918313011246	41.0	95.01788856815864	36.36363636363637	20148119.0
SRR2096482	5.421812927484581	76.74592509819573	41.0	94.985775127014	36.36363636363637	25633199.0
SRR2096483	5.3609015781728795	76.59938554245726	41.0	95.22218306499485	36.36363636363637	18739268.0
SRR2096484	18.159703202678294	60.3664321984496	43.0	93.85311171655252	36.36363636363637	3171240.0
SRR2096485	5.449866386838654	74.61707204865596	41.0	94.97035804758781	45.45454545454545	23084613.0
SRR2096486	6.067621696523861	73.1673048258314	41.0	94.4059422325799	36.36363636363637	14182077.0
SRR2096487	5.608885019974609	74.39123296040376	42.0	94.85350559827769	36.36363636363637	17317201.0
SRR2096488	26.466907764569587	68.12720903386852	43.0	94.15425835847294	36.36363636363637	8573785.0
SRR2096489	7.504102649049166	68.00096499780015	42.0	95.3729665049936	36.36363636363637	10299386.0
SRR2096490	4.563953798389308	71.02690525851453	42.0	95.97169304741567	36.36363636363637	17220575.0
SRR2096496	3.9665733465404767	67.12918685094073	43.0	96.39611398308173	27.27272727272727	23829747.0
SRR2096497	3.908082227757644	66.77869203568392	44.0	96.4783140071008	27.27272727272727	11612196.0
SRR2096498	4.4314184536544925	74.00264046352548	32.0	96.16121560836461	36.36363636363637	21545755.0
SRR2096499	4.638461329839919	69.48988239313624	42.0	95.7472068375413	27.27272727272727	17840799.0
SRR2096500	5.040941103122219	77.9033248511743	40.0	95.43834742443111	36.36363636363637	26339443.0
SRR2096501	3.372474604973081	50.45200939216823	43.0	97.1244649594235	27.27272727272727	13697092.0
SRR2096502	4.57575244026388	72.5064272155562	43.0	96.04007847800096	27.27272727272727	13463136.0
SRR2096503	4.679231009394485	62.47069001995861	44.0	96.1759516365306	18.181818181818183	13904048.0
SRR2096504	4.601592551204465	70.13939951461607	41.0	95.95134917196387	27.27272727272727	20087469.0
SRR2096505	5.0908573999283435	74.38259058140626	41.0	95.28744316920249	27.27272727272727	27103702.0
SRR2096506	3.984171804618683	69.75284989480764	42.0	96.61637854285247	36.36363636363637	18123285.0
SRR2096507	5.488050333951873	75.62728770028994	41.0	95.01631376934519	36.36363636363637	25166716.0
SRR2096508	4.195324700342838	38.865521749708066	39.0	96.2198491646832	27.27272727272727	23339229.0
SRR2096509	4.9125665975589135	73.69469715375565	43.0	95.5142432625587	27.27272727272727	22473257.0
SRR2096510	4.40456188002487	71.02606067350179	41.0	96.17611005410473	36.36363636363637	19841150.0
