Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR2096501	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096501.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982664	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982664.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2095031	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095031.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982623	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982623.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982611	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982611.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982610	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982610.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982656	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982656.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096510	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096510.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096483	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096483.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982663	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982663.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982803	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982803.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982608	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982608.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096509	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096509.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096499	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096499.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2095004	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095004.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982609	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982609.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096498	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096498.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982801	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982801.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096507	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096507.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982699	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982699.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982613	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982613.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982661	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982661.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982616	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982616.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096486	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096486.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096487	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096487.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096488	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096488.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982612	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982612.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096484	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096484.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982665	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982665.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982800	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982800.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982701	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982701.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096481	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096481.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096504	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096504.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982660	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982660.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982659	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982659.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982805	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982805.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982618	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982618.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096485	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096485.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982621	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982621.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096490	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096490.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096506	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096506.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096508	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096508.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2095014	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095014.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982622	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982622.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982615	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982615.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982620	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982620.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096500	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096500.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982697	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982697.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096496	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096496.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096497	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096497.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982702	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982702.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982662	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982662.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096502	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096502.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982797	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982797.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982799	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982799.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982798	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982798.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982696	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982696.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982804	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982804.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982614	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982614.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096503	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096503.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096505	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096505.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982700	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982700.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982698	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982698.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982796	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982796.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096482	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096482.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982657	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982657.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982658	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982658.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982802	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982802.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR2096489	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096489.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1982619	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982619.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR1982623	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982623_trimmed_fastqc.zip
FastQC	all_sections	SRR1982610	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982610_trimmed_fastqc.zip
FastQC	all_sections	SRR1982805	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982805_trimmed_fastqc.zip
FastQC	all_sections	SRR2096490	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096490_trimmed_fastqc.zip
FastQC	all_sections	SRR2096488	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096488_trimmed_fastqc.zip
FastQC	all_sections	SRR2096483	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096483_trimmed_fastqc.zip
FastQC	all_sections	SRR1982659	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982659_trimmed_fastqc.zip
FastQC	all_sections	SRR2095014	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095014_trimmed_fastqc.zip
FastQC	all_sections	SRR1982614	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982614_trimmed_fastqc.zip
FastQC	all_sections	SRR2095031	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095031_trimmed_fastqc.zip
FastQC	all_sections	SRR1982665	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982665_trimmed_fastqc.zip
FastQC	all_sections	SRR1982657	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982657_trimmed_fastqc.zip
FastQC	all_sections	SRR1982701	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982701_trimmed_fastqc.zip
FastQC	all_sections	SRR1982702	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982702_trimmed_fastqc.zip
FastQC	all_sections	SRR2096497	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096497_trimmed_fastqc.zip
FastQC	all_sections	SRR1982622	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982622_trimmed_fastqc.zip
FastQC	all_sections	SRR2096508	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096508_trimmed_fastqc.zip
FastQC	all_sections	SRR1982803	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982803_trimmed_fastqc.zip
FastQC	all_sections	SRR1982612	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982612_trimmed_fastqc.zip
FastQC	all_sections	SRR1982656	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982656_trimmed_fastqc.zip
FastQC	all_sections	SRR1982658	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982658_trimmed_fastqc.zip
FastQC	all_sections	SRR1982613	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982613_trimmed_fastqc.zip
FastQC	all_sections	SRR1982800	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982800_trimmed_fastqc.zip
FastQC	all_sections	SRR2096505	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096505_trimmed_fastqc.zip
FastQC	all_sections	SRR1982618	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982618_trimmed_fastqc.zip
FastQC	all_sections	SRR2096486	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096486_trimmed_fastqc.zip
FastQC	all_sections	SRR1982664	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982664_trimmed_fastqc.zip
FastQC	all_sections	SRR2096503	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096503_trimmed_fastqc.zip
FastQC	all_sections	SRR2096510	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096510_trimmed_fastqc.zip
FastQC	all_sections	SRR2096501	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096501_trimmed_fastqc.zip
FastQC	all_sections	SRR2096484	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096484_trimmed_fastqc.zip
FastQC	all_sections	SRR1982619	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982619_trimmed_fastqc.zip
FastQC	all_sections	SRR2096481	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096481_trimmed_fastqc.zip
FastQC	all_sections	SRR2096504	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096504_trimmed_fastqc.zip
FastQC	all_sections	SRR1982660	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982660_trimmed_fastqc.zip
FastQC	all_sections	SRR1982661	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982661_trimmed_fastqc.zip
FastQC	all_sections	SRR1982804	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982804_trimmed_fastqc.zip
FastQC	all_sections	SRR1982802	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982802_trimmed_fastqc.zip
FastQC	all_sections	SRR1982698	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982698_trimmed_fastqc.zip
FastQC	all_sections	SRR2096507	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096507_trimmed_fastqc.zip
FastQC	all_sections	SRR1982620	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982620_trimmed_fastqc.zip
FastQC	all_sections	SRR2096482	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096482_trimmed_fastqc.zip
FastQC	all_sections	SRR2096485	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096485_trimmed_fastqc.zip
FastQC	all_sections	SRR2096509	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096509_trimmed_fastqc.zip
FastQC	all_sections	SRR2096498	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096498_trimmed_fastqc.zip
FastQC	all_sections	SRR1982663	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982663_trimmed_fastqc.zip
FastQC	all_sections	SRR2096500	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096500_trimmed_fastqc.zip
FastQC	all_sections	SRR1982799	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982799_trimmed_fastqc.zip
FastQC	all_sections	SRR1982798	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982798_trimmed_fastqc.zip
FastQC	all_sections	SRR1982699	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982699_trimmed_fastqc.zip
FastQC	all_sections	SRR1982616	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982616_trimmed_fastqc.zip
FastQC	all_sections	SRR2096496	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096496_trimmed_fastqc.zip
FastQC	all_sections	SRR1982700	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982700_trimmed_fastqc.zip
FastQC	all_sections	SRR1982797	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982797_trimmed_fastqc.zip
FastQC	all_sections	SRR1982609	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982609_trimmed_fastqc.zip
FastQC	all_sections	SRR1982615	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982615_trimmed_fastqc.zip
FastQC	all_sections	SRR1982697	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982697_trimmed_fastqc.zip
FastQC	all_sections	SRR1982801	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982801_trimmed_fastqc.zip
FastQC	all_sections	SRR1982608	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982608_trimmed_fastqc.zip
FastQC	all_sections	SRR2096489	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096489_trimmed_fastqc.zip
FastQC	all_sections	SRR1982796	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982796_trimmed_fastqc.zip
FastQC	all_sections	SRR2095004	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2095004_trimmed_fastqc.zip
FastQC	all_sections	SRR1982662	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982662_trimmed_fastqc.zip
FastQC	all_sections	SRR2096499	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096499_trimmed_fastqc.zip
FastQC	all_sections	SRR2096487	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096487_trimmed_fastqc.zip
FastQC	all_sections	SRR1982611	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982611_trimmed_fastqc.zip
FastQC	all_sections	SRR1982621	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982621_trimmed_fastqc.zip
FastQC	all_sections	SRR2096502	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096502_trimmed_fastqc.zip
FastQC	all_sections	SRR1982696	/home/course23/Cancer_msbt/Results/Trim_galore/SRR1982696_trimmed_fastqc.zip
FastQC	all_sections	SRR2096506	/home/course23/Cancer_msbt/Results/Trim_galore/SRR2096506_trimmed_fastqc.zip
